,0
0,4603
1,4225
2,3901
3,838
4,797
5,640
6,620
7,252
8,252
9,199
10,195
11,172
12,168
13,168
14,163
15,159
16,150
17,150
18,148
19,145
20,144
21,144
22,139
23,137
24,136
25,136
26,135
27,135
28,135
29,134
30,133
31,132
32,132
33,132
34,131
35,131
36,130
37,130
38,130
39,130
40,130
41,129
42,129
43,127
44,127
45,127
46,126
47,124
48,124
49,123
50,123
51,122
52,122
53,122
54,122
55,121
56,121
57,120
58,120
59,120
60,120
61,120
62,120
63,120
64,120
65,120
66,120
67,119
68,118
69,118
70,118
71,118
72,118
73,118
74,117
75,117
76,117
77,117
78,116
79,116
80,115
81,115
82,115
83,115
84,115
85,114
86,114
87,114
88,113
89,111
90,110
91,109
92,109
93,108
94,108
95,108
96,108
97,107
98,107
99,107
100,107
101,106
102,106
103,105
104,105
105,105
106,105
107,105
108,104
109,104
110,104
111,104
112,104
113,104
114,103
115,103
116,103
117,102
118,102
119,102
120,101
121,101
122,101
123,101
124,101
125,100
126,99
127,99
128,99
129,99
130,99
131,99
132,99
133,99
134,99
135,98
136,98
137,98
138,97
139,97
140,97
141,97
142,97
143,97
144,96
145,96
146,96
147,96
148,96
149,96
150,96
151,96
152,96
153,96
154,96
155,96
156,96
157,96
158,96
159,96
160,96
161,96
162,96
163,96
164,96
165,96
166,96
167,96
168,95
169,94
170,94
171,94
172,93
173,93
174,92
175,92
176,91
177,91
178,91
179,90
180,90
181,89
182,89
183,89
184,89
185,89
186,88
187,88
188,88
189,87
190,86
191,86
192,84
193,84
194,84
195,84
196,83
197,83
198,83
199,82
200,81
201,79
202,79
203,78
204,77
205,77
206,75
207,74
208,74
209,73
210,73
211,72
212,72
213,72
214,72
215,72
216,72
217,72
218,72
219,72
220,72
221,72
222,72
223,72
224,72
225,72
226,72
227,72
228,72
229,72
230,72
231,72
232,72
233,72
234,72
235,72
236,72
237,72
238,72
239,72
240,72
241,72
242,72
243,72
244,72
245,72
246,72
247,72
248,72
249,72
250,72
251,72
252,72
253,72
254,72
255,72
256,72
257,72
258,72
259,72
260,72
261,72
262,72
263,72
264,72
265,72
266,72
267,72
268,72
269,72
270,72
271,72
272,72
273,72
274,72
275,72
276,72
277,72
278,72
279,72
280,72
281,72
282,72
283,72
284,72
285,72
286,72
287,72
288,72
289,72
290,72
291,72
292,72
293,72
294,72
295,72
296,72
297,72
298,71
299,70
300,69
301,69
302,68
303,66
304,66
305,64
306,64
307,64
308,63
309,63
310,61
311,60
312,59
313,58
314,57
315,57
316,57
317,56
318,54
319,53
320,53
321,53
322,53
323,52
324,52
325,52
326,52
327,52
328,51
329,51
330,50
331,50
332,50
333,50
334,50
335,49
336,48
337,48
338,48
339,48
340,48
341,48
342,48
343,48
344,48
345,48
346,48
347,48
348,48
349,48
350,48
351,48
352,48
353,48
354,48
355,48
356,48
357,48
358,48
359,48
360,48
361,48
362,48
363,48
364,48
365,48
366,48
367,48
368,48
369,48
370,48
371,48
372,48
373,48
374,48
375,48
376,48
377,48
378,48
379,48
380,48
381,48
382,48
383,48
384,48
385,48
386,48
387,48
388,48
389,48
390,48
391,48
392,48
393,48
394,48
395,48
396,48
397,48
398,48
399,48
400,48
401,48
402,48
403,48
404,48
405,48
406,48
407,48
408,48
409,48
410,48
411,48
412,48
413,48
414,48
415,48
416,48
417,48
418,48
419,48
420,48
421,48
422,48
423,48
424,48
425,48
426,48
427,48
428,48
429,48
430,48
431,48
432,48
433,48
434,48
435,48
436,48
437,48
438,48
439,48
440,48
441,48
442,48
443,48
444,48
445,48
446,48
447,48
448,48
449,48
450,48
451,48
452,48
453,48
454,48
455,48
456,48
457,48
458,48
459,48
460,48
461,48
462,48
463,48
464,48
465,48
466,48
467,48
468,48
469,48
470,48
471,48
472,48
473,48
474,48
475,48
476,48
477,48
478,48
479,48
480,48
481,48
482,48
483,48
484,48
485,48
486,48
487,48
488,48
489,48
490,48
491,48
492,48
493,48
494,48
495,48
496,48
497,48
498,48
499,48
500,48
501,48
502,48
503,48
504,48
505,48
506,48
507,48
508,48
509,48
510,48
511,48
512,48
513,48
514,48
515,48
516,48
517,48
518,48
519,48
520,48
521,48
522,48
523,48
524,48
525,48
526,48
527,48
528,48
529,48
530,48
531,48
532,48
533,48
534,48
535,48
536,48
537,48
538,48
539,48
540,48
541,48
542,48
543,48
544,48
545,48
546,48
547,48
