,0
0,1272
1,984
2,840
3,576
4,456
5,371
6,312
7,289
8,288
9,288
10,280
11,278
12,264
13,216
14,214
15,214
16,205
17,198
18,197
19,194
20,193
21,192
22,190
23,189
24,188
25,187
26,186
27,184
28,182
29,181
30,180
31,178
32,177
33,175
34,173
35,169
36,169
37,168
38,165
39,164
40,162
41,161
42,161
43,160
44,160
45,159
46,159
47,156
48,155
49,153
50,152
51,152
52,151
53,150
54,150
55,148
56,148
57,148
58,146
59,146
60,146
61,145
62,145
63,144
64,144
65,144
66,144
67,144
68,144
69,144
70,143
71,143
72,142
73,140
74,140
75,140
76,139
77,139
78,139
79,137
80,137
81,136
82,136
83,136
84,136
85,136
86,135
87,135
88,135
89,134
90,133
91,133
92,133
93,132
94,132
95,132
96,131
97,131
98,131
99,129
100,129
101,129
102,129
103,129
104,129
105,129
106,128
107,128
108,127
109,126
110,126
111,126
112,126
113,125
114,125
115,123
116,121
117,120
118,120
119,120
120,120
121,120
122,120
123,120
124,120
125,120
126,120
127,120
128,120
129,120
130,120
131,120
132,120
133,118
134,118
135,118
136,118
137,117
138,117
139,114
140,114
141,114
142,114
143,113
144,112
145,112
146,112
147,112
148,112
149,111
150,110
151,110
152,109
153,109
154,108
155,108
156,107
157,106
158,106
159,105
160,104
161,103
162,103
163,103
164,103
165,103
166,103
167,102
168,102
169,102
170,101
171,101
172,101
173,101
174,100
175,100
176,99
177,99
178,99
179,99
180,98
181,98
182,98
183,98
184,97
185,97
186,96
187,96
188,96
189,96
190,96
191,96
192,96
193,96
194,96
195,96
196,96
197,96
198,96
199,96
200,96
201,96
202,96
203,96
204,96
205,96
206,96
207,96
208,96
209,96
210,96
211,95
212,95
213,95
214,95
215,95
216,95
217,95
218,94
219,93
220,93
221,93
222,92
223,92
224,92
225,91
226,91
227,91
228,90
229,90
230,89
231,89
232,88
233,88
234,87
235,86
236,85
237,84
238,83
239,83
240,83
241,83
242,82
243,82
244,82
245,82
246,82
247,81
248,81
249,81
250,81
251,81
252,80
253,80
254,80
255,79
256,79
257,79
258,79
259,78
260,78
261,78
262,78
263,78
264,77
265,76
266,76
267,76
268,75
269,75
270,75
271,74
272,74
273,73
274,73
275,73
276,72
277,72
278,72
279,72
280,72
281,72
282,72
283,72
284,72
285,72
286,72
287,72
288,72
289,72
290,72
291,72
292,72
293,72
294,72
295,72
296,72
297,72
298,72
299,72
300,72
301,72
302,72
303,72
304,72
305,72
306,72
307,72
308,72
309,72
310,72
311,72
312,72
313,72
314,72
315,72
316,72
317,72
318,72
319,72
320,72
321,72
322,72
323,72
324,72
325,72
326,72
327,72
328,72
329,72
330,72
331,72
332,72
333,72
334,72
335,72
336,72
337,72
338,72
339,72
340,72
341,72
342,72
343,72
344,72
345,72
346,72
347,72
